DBMS,Rank_Dec-2023,Rank_Nov-2023,Rank_Dec-2022,Database Model,Score_Dec-2023,Score_Nov-2023,Score_Dec-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
Oracle Essbase,54.0,57.0,54.0,Relational,8.09,+0.31,-0.25,https://db-engines.com/en/system/Oracle+Essbase,,Oracle,Multidimensional database platform for analytic applications,1998.0,"21.1, December 2020",commercial,,no
Datastax Enterprise,55.0,58.0,53.0,"Wide column, Multi-model",8.0,+0.74,-0.63,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no
Realm,56.0,53.0,51.0,Document,7.96,-0.30,-0.74,https://db-engines.com/en/system/Realm,,"Realm, acquired by MongoDB in May 2019","A DBMS built for use on mobile devices that’s a fast, easy to use alternative to,SQLite,and Core Data",2014.0,,Open Source,,no
Hazelcast,57.0,55.0,49.0,"Key-value, Multi-model",7.92,-0.15,-1.15,https://db-engines.com/en/system/Hazelcast,"Key-value store,Document store",Hazelcast,A widely adopted in-memory data grid,2008.0,"5.3.6, November 2023",Open Source,Apache Version 2; commercial licenses available,no
MarkLogic,58.0,54.0,50.0,Multi-model,7.79,-0.38,-1.03,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no
Aerospike,59.0,59.0,64.0,Multi-model,7.18,-0.04,+0.54,https://db-engines.com/en/system/Aerospike,"Document store,Graph DBMS,Key-value store,Spatial DBMS",Aerospike,Flash-optimized In-memory NoSQL Database,2012.0,"7.0, November 2023",Open Source,Apache and AGPL Licenses; open sourced in June 2014; commercial Enterprise Edition available,no
Microsoft Azure Data Explorer,60.0,60.0,63.0,"Relational, Multi-model",6.93,-0.06,+0.25,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes
Derby,61.0,63.0,73.0,Relational,6.86,+0.21,+1.03,https://db-engines.com/en/system/Derby,,Apache Software Foundation,"Full-featured RDBMS with a small footprint, either embedded into a Java application or used as a database server.",1997.0,"10.16.1.1, May 2022",Open Source,Apache version 2,no
Algolia,62.0,61.0,57.0,Search engine,6.74,-0.10,-0.72,https://db-engines.com/en/system/Algolia,,,"Fully customizable, hosted Search API",2012.0,,commercial,,yes
ScyllaDB,63.0,65.0,79.0,"Wide column, Multi-model",6.56,+0.00,+1.35,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 5.2.11, November 2023",Open Source,"Open Source (AGPL), commercial license available",no
