DBMS,Rank_Mar-2023,Rank_Feb-2023,Rank_Mar-2022,Database Model,Score_Mar-2023,Score_Feb-2023,Score_Mar-2022,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
openGauss,196.0,188.0,,"Relational, Multi-model",1.19,-0.12,,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS",Huawei and openGauss community,"An enterprise-class,RDBMS,compatible with high-performance, high-availability and high-performance originally developed by Huawei",2019.0,"3.0, March 2022",Open Source,,no,2019,2022,Y,N
D3,197.0,209.0,160.0,Multivalue,1.19,+0.12,-0.08,https://db-engines.com/en/system/D3,,,,1999.0,,commercial,,no,1999,,N,N
Meilisearch,198.0,204.0,224.0,Search engine,1.17,+0.08,+0.59,https://db-engines.com/en/system/Meilisearch,,,"A powerful, fast, open-source and highly customizable,Search Engine",2020.0,,Open Source,MIT License,no,2020,,Y,N
Actian Vector,199.0,184.0,197.0,Relational,1.17,-0.18,+0.39,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no,,2016,N,N
AllegroGraph,200.0,187.0,161.0,Multi-model,1.17,-0.16,-0.06,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Spatial DBMS",Franz Inc.,"High performance, persistent RDF store with additional support for Graph DBMS",2004.0,"7.2.0, October 2021",commercial,Limited community edition free,no,2004,2021,N,N
HPE Ezmeral Data Fabric,201.0,190.0,191.0,Multi-model,1.17,-0.12,+0.35,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store","HPE, MapR Technologies, Inc","A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale",2009.0,,commercial,,no,2009,,N,N
solidDB,202.0,195.0,194.0,Relational,1.15,-0.08,+0.36,https://db-engines.com/en/system/solidDB,,"Unicom Systems, Inc; IBM",,1992.0,,commercial,,no,1992,,N,N
RDF4J,203.0,194.0,213.0,RDF,1.15,-0.11,+0.46,https://db-engines.com/en/system/RDF4J,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.","RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no,2004,,Y,N
Dolt,204.0,203.0,211.0,"Relational, Multi-model",1.15,+0.04,+0.45,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no,2018,,Y,N
FrontBase,205.0,211.0,186.0,Relational,1.13,+0.08,+0.27,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no,1993,2015,N,N
Blazegraph,206.0,198.0,180.0,Multi-model,1.06,-0.12,+0.13,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.",2006.0,"2.1.5, March 2019",Open Source,extended commercial license available,no,2006,2019,Y,N
Kognitio,207.0,206.0,192.0,Relational,1.06,-0.03,+0.25,https://db-engines.com/en/system/Kognitio,,,,1992.0,,commercial,,no,1992,,N,N
WebSphere eXtreme Scale,208.0,205.0,216.0,Key-value,1.05,-0.04,+0.40,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no,2009,,N,N
BigchainDB,209.0,224.0,198.0,Document,1.04,+0.10,+0.26,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no,2016,,Y,N
OpenBase,210.0,218.0,212.0,Relational,1.04,+0.04,+0.35,https://db-engines.com/en/system/OpenBase,,,,1991.0,,commercial,,no,1991,,N,N
eXist-db,211.0,202.0,185.0,Native XML,1.03,-0.09,+0.16,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no,2000,,Y,N
SciDB,212.0,216.0,217.0,Multivalue,1.02,+0.01,+0.38,https://db-engines.com/en/system/SciDB,,Paradigm4,DBMS built upon a multi-dimensional array data model,2008.0,,Open Source,,no,2008,,Y,N
TDSQL for MySQL,213.0,214.0,241.0,"Relational, Multi-model",1.02,0.00,+0.51,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS",Tencent,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",2013.0,,commercial,,yes,2013,,N,Y
M3DB,214.0,207.0,281.0,Time Series,1.02,-0.07,+0.77,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no,,,Y,N
VictoriaMetrics,215.0,219.0,218.0,Time Series,1.01,+0.02,+0.39,https://db-engines.com/en/system/VictoriaMetrics,,VictoriaMetrics,"A fast, cost-effective and scalable,Time Series DBMS,and monitoring solution",2018.0,"v1.89, March 2023",Open Source,Apache Version 2.0,no,2018,2023,Y,N
Yellowbrick,216.0,235.0,204.0,Relational,1.01,+0.14,+0.28,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no,,,N,N
Amazon Timestream,217.0,199.0,175.0,Time Series,1.0,-0.15,-0.02,https://db-engines.com/en/system/Amazon+Timestream,,,"Fast, scalable, fully managed time series database service for IoT and operational applications",2018.0,,commercial,,yes,2018,,N,Y
NexusDB,218.0,222.0,220.0,Relational,1.0,+0.02,+0.40,https://db-engines.com/en/system/NexusDB,,,,2003.0,"4.50.26, February 2021",commercial,,no,2003,2021,N,N
GeoMesa,219.0,225.0,196.0,Spatial DBMS,1.0,+0.06,+0.21,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"4.0.0, March 2023",Open Source,Apache License 2.0,no,2014,2023,Y,N
ObjectDB,220.0,230.0,221.0,Object oriented,0.98,+0.07,+0.37,https://db-engines.com/en/system/ObjectDB,,,,2010.0,"2.8.8, October 2022",commercial,,no,2010,2022,N,N
PlanetScale,221.0,226.0,,"Relational, Multi-model",0.96,+0.03,,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS",,,2020.0,,commercial,,yes,2020,,N,Y
Vitess,222.0,217.0,,"Relational, Multi-model",0.96,-0.05,,https://db-engines.com/en/system/Vitess,"Relational DBMS,Document store,Spatial DBMS",,,2013.0,"15.0.2, December 2022",Open Source,"Apache Version 2.0, commercial licenses available",no,2013,2022,Y,N
KairosDB,223.0,210.0,215.0,Time Series,0.95,-0.11,+0.30,https://db-engines.com/en/system/KairosDB,,,,2013.0,"1.2.2, November 2018",Open Source,Apache 2.0,no,2013,2018,Y,N
Graph Engine,224.0,208.0,184.0,Multi-model,0.93,-0.15,+0.03,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",,,2010.0,,Open Source,MIT License,no,2010,,Y,N
MapDB,225.0,220.0,235.0,Key-value,0.92,-0.07,+0.39,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no,2002,,Y,N
Splice Machine,226.0,212.0,189.0,Relational,0.88,-0.15,+0.04,https://db-engines.com/en/system/Splice+Machine,,,,2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no,2014,2021,Y,N
OpenInsight,227.0,236.0,243.0,Multivalue,0.88,+0.04,+0.38,https://db-engines.com/en/system/OpenInsight,,,,1992.0,"10.0.1, April 2018",commercial,,no,1992,2018,N,N
Rockset,228.0,223.0,237.0,"Document, Multi-model",0.87,-0.08,+0.35,https://db-engines.com/en/system/Rockset,"Document store,Relational DBMS,Search engine",,,2019.0,,commercial,,yes,2019,,N,Y
R:BASE,229.0,234.0,208.0,Relational,0.87,+0.00,+0.16,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no,1981,,N,N
Datacom/DB,230.0,239.0,199.0,Relational,0.85,+0.07,+0.08,https://db-engines.com/en/system/Datacom%2FDB,,,,1972.0,,commercial,,no,1972,,N,N
Amazon Keyspaces,231.0,228.0,238.0,Wide column,0.85,-0.06,+0.32,https://db-engines.com/en/system/Amazon+Keyspaces,,,,2019.0,,commercial,,yes,2019,,N,Y
BoltDB,232.0,233.0,229.0,Key-value,0.84,-0.03,+0.28,https://db-engines.com/en/system/BoltDB,,,,2013.0,,Open Source,MIT License,no,2013,,Y,N
atoti,233.0,258.0,261.0,Object oriented,0.84,+0.22,+0.46,https://db-engines.com/en/system/atoti,,,,,,commercial,free versions available,no,,,N,N
VistaDB,234.0,232.0,219.0,Relational,0.84,-0.04,+0.23,https://db-engines.com/en/system/VistaDB,,,,2008.0,,commercial,,no,2008,,N,N
eXtremeDB,235.0,238.0,209.0,Multi-model,0.83,+0.03,+0.13,https://db-engines.com/en/system/eXtremeDB,"Relational DBMS,Time Series DBMS",,,2001.0,"8.2, 2021",commercial,,no,2001,2021,N,N
ScaleArc,236.0,229.0,231.0,Relational,0.82,-0.09,+0.27,https://db-engines.com/en/system/ScaleArc,,,,2009.0,,commercial,limited edition free,no,2009,,N,N
CrateDB,237.0,227.0,178.0,Multi-model,0.82,-0.09,-0.15,https://db-engines.com/en/system/CrateDB,"Document store,Time Series DBMS,Relational DBMS,Search engine",,,2013.0,,Open Source,,no,2013,,Y,N
SQream DB,238.0,231.0,230.0,Relational,0.81,-0.08,+0.26,https://db-engines.com/en/system/SQream+DB,,,,2017.0,"2022.1.6, December 2022",commercial,,no,2017,2022,N,N
Milvus,239.0,240.0,247.0,Search engine,0.8,+0.02,+0.35,https://db-engines.com/en/system/Milvus,,,,2019.0,"2.2, November 2022",Open Source,Apache Version 2.0,no,2019,2022,Y,N
Objectivity/DB,240.0,243.0,188.0,Object oriented,0.78,+0.02,-0.07,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no,1990,,N,N
Scalaris,241.0,237.0,256.0,Key-value,0.74,-0.08,+0.33,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
KeyDB,242.0,244.0,265.0,Key-value,0.73,-0.02,+0.40,https://db-engines.com/en/system/KeyDB,,,,2019.0,,Open Source,BSD-3,no,2019,,Y,N
Strabon,243.0,253.0,307.0,RDF,0.7,+0.02,+0.58,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no,2011,,Y,N
Apache IoTDB,244.0,221.0,258.0,Time Series,0.7,-0.29,+0.30,https://db-engines.com/en/system/Apache+IoTDB,,,,2018.0,,Open Source,Apache Version 2.0,no,2018,,Y,N
AlaSQL,245.0,249.0,232.0,Multi-model,0.69,-0.02,+0.14,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",,,2014.0,,Open Source,MIT-License,no,2014,,Y,N
Apache Doris,246.0,245.0,277.0,Relational,0.68,-0.06,+0.42,https://db-engines.com/en/system/Apache+Doris,,,,2017.0,,Open Source,Apache Version 2.0,no,2017,,Y,N
ModeShape,247.0,246.0,259.0,Content,0.68,-0.04,+0.30,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
SearchBlox,248.0,247.0,263.0,Search engine,0.67,-0.05,+0.31,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no,2003,,N,N
Tajo,249.0,248.0,257.0,Relational,0.67,-0.04,+0.26,https://db-engines.com/en/system/Tajo,,,,2012.0,,Open Source,Apache Version 2,no,2012,,Y,N
4store,250.0,242.0,242.0,RDF,0.66,-0.10,+0.16,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no,2009,,Y,N
Rasdaman,251.0,250.0,253.0,Multivalue,0.66,-0.06,+0.23,https://db-engines.com/en/system/Rasdaman,,,,1998.0,,Open Source,extended commercial license available,no,1998,,Y,N
Elassandra,252.0,257.0,251.0,"Wide column, Multi-model",0.65,+0.02,+0.21,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,,,,Open Source,Apache Version 2.0,no,,,Y,N
Postgres-XL,253.0,251.0,206.0,"Relational, Multi-model",0.64,-0.07,-0.08,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,,2014.0,,Open Source,Mozilla public license,no,2014,,Y,N
Trafodion,254.0,256.0,250.0,Relational,0.63,-0.01,+0.18,https://db-engines.com/en/system/Trafodion,,,,2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
Kinetica,255.0,269.0,203.0,"Relational, Multi-model",0.63,+0.07,-0.11,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",,,2012.0,,commercial,,no,2012,,N,N
Kingbase,256.0,241.0,260.0,"Relational, Multi-model",0.62,-0.15,+0.24,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",,,1999.0,,commercial,,no,1999,,N,N
Apache Pinot,257.0,254.0,279.0,Relational,0.61,-0.05,+0.36,https://db-engines.com/en/system/Apache+Pinot,,,,2015.0,,Open Source,Apache Version 2.0,no,2015,,Y,N
Redland,258.0,277.0,240.0,RDF,0.61,+0.10,+0.11,https://db-engines.com/en/system/Redland,,,,2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no,2000,,Y,N
Starcounter,259.0,255.0,245.0,Object oriented,0.61,-0.04,+0.14,https://db-engines.com/en/system/Starcounter,,,,2006.0,,commercial,,no,2006,,N,N
ITTIA,260.0,266.0,314.0,Relational,0.59,+0.03,+0.49,https://db-engines.com/en/system/ITTIA,,,,2000.0,,commercial,,no,2000,,N,N
Raima Database Manager,261.0,273.0,228.0,Multi-model,0.59,+0.06,+0.02,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",,,1984.0,,commercial,,no,1984,,N,N
OpenQM,262.0,261.0,280.0,Multivalue,0.58,0.00,+0.34,https://db-engines.com/en/system/OpenQM,,,,1993.0,,Open Source,"GPLv2, extended commercial license available",no,1993,,Y,N
Lovefield,263.0,272.0,278.0,Relational,0.58,+0.05,+0.32,https://db-engines.com/en/system/Lovefield,,,,2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
GemStone/S,264.0,262.0,187.0,Object oriented,0.58,0.00,-0.28,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,,commercial,,no,1986,,N,N
Project Voldemort,265.0,264.0,246.0,Key-value,0.57,+0.00,+0.11,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,,Open Source,Apache version 2,no,2009,,Y,N
LokiJS,266.0,252.0,227.0,Document,0.56,-0.14,-0.01,https://db-engines.com/en/system/LokiJS,,,,2014.0,,Open Source,,no,2014,,Y,N
Actian FastObjects,267.0,268.0,284.0,Object oriented,0.55,-0.01,+0.34,https://db-engines.com/en/system/Actian+FastObjects,,,,,,commercial,,no,,,N,N
SurrealDB,268.0,278.0,,Multi-model,0.54,+0.03,,https://db-engines.com/en/system/SurrealDB,"Document store,Graph DBMS",,,2022.0,,Open Source,,no,2022,,Y,N
Percona Server for MongoDB,269.0,265.0,222.0,Document,0.53,-0.04,-0.07,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,,,2015.0,,Open Source,GPL Version 2,no,2015,,Y,N
Alibaba Cloud MaxCompute,270.0,279.0,207.0,Relational,0.53,+0.02,-0.19,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,,,,2016.0,,commercial,,yes,2016,,N,Y
InfiniteGraph,271.0,259.0,252.0,Graph,0.53,-0.09,+0.09,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no,2010,,N,N
Alibaba Cloud AnalyticDB for MySQL,272.0,283.0,214.0,"Relational, Multi-model",0.52,+0.02,-0.16,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",,,,,commercial,,yes,,,N,Y
Weaviate,273.0,295.0,299.0,Search engine,0.51,+0.10,+0.36,https://db-engines.com/en/system/Weaviate,,,,2019.0,,Open Source,commercial license available with Weaviate Enterprise,no,2019,,Y,N
Transbase,274.0,274.0,315.0,Relational,0.51,-0.01,+0.42,https://db-engines.com/en/system/Transbase,,,,1987.0,,commercial,free development license,no,1987,,N,N
EJDB,275.0,280.0,296.0,Document,0.5,0.00,+0.34,https://db-engines.com/en/system/EJDB,,,,2012.0,,Open Source,GPLv2,no,2012,,Y,N
Tokyo Tyrant,276.0,263.0,236.0,Key-value,0.5,-0.08,-0.03,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no,2007,,Y,N
Mulgara,277.0,281.0,304.0,RDF,0.48,-0.02,+0.36,https://db-engines.com/en/system/Mulgara,,,,2006.0,,Open Source,Apache Version 2,no,2006,,Y,N
Comdb2,278.0,270.0,274.0,Relational,0.48,-0.07,+0.22,https://db-engines.com/en/system/Comdb2,,,,2004.0,,Open Source,Apache 2.0,no,2004,,Y,N
Sequoiadb,279.0,260.0,254.0,Multi-model,0.48,-0.11,+0.06,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",,,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no,2013,,Y,N
Mimer SQL,280.0,289.0,267.0,Relational,0.48,+0.04,+0.15,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,,commercial,,no,1977,,N,N
Typesense,281.0,293.0,,Search engine,0.47,+0.05,,https://db-engines.com/en/system/Typesense,,,,2015.0,,Open Source,GPL V3,no,2015,,Y,N
HugeGraph,282.0,287.0,294.0,Graph,0.46,+0.01,+0.29,https://db-engines.com/en/system/HugeGraph,,,,2018.0,0.9,Open Source,Apache Version 2.0,no,2018,,Y,N
HarperDB,283.0,267.0,234.0,Document,0.46,-0.10,-0.08,https://db-engines.com/en/system/HarperDB,,,,2017.0,"3.1, August 2021",commercial,free community edition available,no,2017,2021,N,N
Jade,284.0,290.0,202.0,Object oriented,0.45,+0.03,-0.30,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no,1996,,N,N
Heroic,285.0,306.0,286.0,Time Series,0.45,+0.07,+0.24,https://db-engines.com/en/system/Heroic,,,,2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
YDB,286.0,271.0,226.0,Multi-model,0.44,-0.10,-0.13,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",,,2019.0,,Open Source,Apache 2.0; commercial license available,no,2019,,Y,N
Cloudflare Workers KV,287.0,275.0,310.0,Key-value,0.44,-0.08,+0.33,https://db-engines.com/en/system/Cloudflare+Workers+KV,,,,2018.0,,commercial,,yes,2018,,N,Y
Brytlyt,288.0,276.0,264.0,Relational,0.43,-0.09,+0.07,https://db-engines.com/en/system/Brytlyt,,,,2016.0,"0.9, October 2016",commercial,,no,2016,2016,N,N
ElevateDB,289.0,286.0,297.0,Relational,0.41,-0.05,+0.25,https://db-engines.com/en/system/ElevateDB,,,,2006.0,,commercial,,no,2006,,N,N
FlockDB,290.0,282.0,269.0,Graph,0.4,-0.09,+0.13,https://db-engines.com/en/system/FlockDB,,,,2010.0,"1.8.5, February 2012",Open Source,Apache Version 2,no,2010,2012,Y,N
Valentina Server,291.0,299.0,287.0,Relational,0.4,0.00,+0.19,https://db-engines.com/en/system/Valentina+Server,,,,1999.0,5.7.5,commercial,,no,1999,,N,N
Kyligence Enterprise,292.0,285.0,276.0,Relational,0.39,-0.08,+0.13,https://db-engines.com/en/system/Kyligence+Enterprise,,,,2016.0,,commercial,,no,2016,,N,N
GraphBase,293.0,308.0,326.0,Graph,0.39,+0.02,+0.33,https://db-engines.com/en/system/GraphBase,,,,,,commercial,,no,,,N,N
Alibaba Cloud AnalyticDB for PostgreSQL,294.0,305.0,244.0,Relational,0.39,+0.01,-0.10,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,,,2016.0,,commercial,,yes,2016,,N,Y
FeatureBase,295.0,292.0,,Relational,0.39,-0.03,,https://db-engines.com/en/system/FeatureBase,,,,2017.0,"2022, May 2022",commercial,,no,2017,2022,N,N
Axibase,296.0,298.0,272.0,Time Series,0.38,-0.03,+0.12,https://db-engines.com/en/system/Axibase,,,,2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no,2013,1558,N,N
RedStore,297.0,309.0,324.0,RDF,0.37,+0.01,+0.31,https://db-engines.com/en/system/RedStore,,,,2009.0,,Open Source,GPLv3,no,2009,,Y,N
Marqo,298.0,288.0,,Search engine,0.37,-0.09,,https://db-engines.com/en/system/Marqo,,,,2022.0,,Open Source,Apache Version 2.0,no,2022,,Y,N
HyperGraphDB,299.0,297.0,289.0,Graph,0.37,-0.04,+0.17,https://db-engines.com/en/system/HyperGraphDB,,,,2007.0,,Open Source,L-GPL,no,2007,,Y,N
PipelineDB,300.0,291.0,268.0,Relational,0.34,-0.08,+0.05,https://db-engines.com/en/system/PipelineDB,,,,2015.0,,Open Source,"BSD, GPL V3",no,2015,,Y,N
Speedb,301.0,313.0,,Key-value,0.34,-0.01,,https://db-engines.com/en/system/Speedb,,,"An embeddable, high performance key-value store optimized for write-intensive workloads, which can be used as a drop-in replacement for,RocksDB",2020.0,,Open Source,Apache Version 2.0; commercial license available,no,2020,,Y,N
TinkerGraph,302.0,303.0,300.0,Graph,0.34,-0.04,+0.19,https://db-engines.com/en/system/TinkerGraph,,,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",2009.0,,Open Source,Apache 2.0,no,2009,,Y,N
CubicWeb,303.0,304.0,290.0,RDF,0.34,-0.05,+0.14,https://db-engines.com/en/system/CubicWeb,,,,2001.0,,Open Source,L-GPL,no,2001,,Y,N
Alibaba Cloud ApsaraDB for PolarDB,304.0,318.0,223.0,Relational,0.33,0.00,-0.26,https://db-engines.com/en/system/Alibaba+Cloud+ApsaraDB+for+PolarDB,,,"A cloud-native relational database compatible with MySQL, PostgreSQL, and Oracle. Designed for business critical applications.",,,commercial,,yes,,,N,Y
Machbase,305.0,310.0,343.0,Time Series,0.33,-0.03,+0.31,https://db-engines.com/en/system/Machbase,,,TimeSeries DBMS for AIoT and BigData,2013.0,,commercial,free test version available,no,2013,,N,N
TransLattice,306.0,284.0,275.0,Relational,0.32,-0.16,+0.06,https://db-engines.com/en/system/TransLattice,,,,2007.0,,commercial,,no,2007,,N,N
Alibaba Cloud Log Service,307.0,322.0,233.0,Search engine,0.31,0.00,-0.24,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,,"A complete real-time data logging service that supports collection, consumption, shipping, search, and analysis of logs.",2016.0,,commercial,,yes,2016,,N,Y
Ultipa,308.0,302.0,,Graph,0.31,-0.08,,https://db-engines.com/en/system/Ultipa,,,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no,2019,,N,N
ArcadeDB,309.0,294.0,317.0,Multi-model,0.31,-0.11,+0.22,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS",,"Fast and scalable multi-model DBMS, originally forked from,OrientDB,but most of the code has been rewritten",2021.0,,Open Source,Apache Version 2.0,no,2021,,Y,N
GeoSpock,310.0,311.0,291.0,"Relational, Multi-model",0.31,-0.05,+0.11,https://db-engines.com/en/system/GeoSpock,"Relational DBMS,Time Series DBMS",,Spatial and temporal data processing engine for extreme data scale,,,commercial,,yes,,,N,Y
Fluree,311.0,301.0,295.0,Graph,0.3,-0.08,+0.13,https://db-engines.com/en/system/Fluree,,,"A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no,2018,,Y,N
Manticore Search,312.0,327.0,318.0,"Search engine, Multi-model",0.3,0.00,+0.22,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS",,"Multi-storage database for search, including full-text search.",2017.0,,Open Source,GPL version 2,no,2017,,Y,N
Dydra,313.0,336.0,330.0,RDF,0.3,+0.05,+0.26,https://db-engines.com/en/system/Dydra,,,,2010.0,,commercial,,no,2010,,N,N
TerminusDB,314.0,315.0,303.0,"Graph, Multi-model",0.3,-0.04,+0.17,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store",,"Scalable,Graph Database,platform making enterprise data available by exploiting inferred entities and relationships",2018.0,,Open Source,GPL V3,no,2018,,Y,N
Sparksee,315.0,314.0,305.0,Graph,0.29,-0.06,+0.17,https://db-engines.com/en/system/Sparksee,,,,2008.0,,commercial,,no,2008,,N,N
Linter,316.0,366.0,311.0,"Relational, Multi-model",0.28,+0.13,+0.17,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS",,RDBMS for high security requirements,1990.0,,commercial,,no,1990,,N,N
Riak TS,317.0,296.0,282.0,Time Series,0.28,-0.13,+0.05,https://db-engines.com/en/system/Riak+TS,,,"Riak TS is a distributed NoSQL database optimized for time series data and based on,Riak KV",2015.0,,Open Source,,no,2015,,Y,N
Tibco ComputeDB,318.0,333.0,266.0,Relational,0.27,+0.01,-0.05,https://db-engines.com/en/system/Tibco+ComputeDB,,,Distributed in-memory data store for real-time operational analytics based on Apache Spark,2015.0,,Open Source,Apache 2.0,no,2015,,Y,N
RDFox,319.0,321.0,319.0,Multi-model,0.27,-0.06,+0.19,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS",,High performance knowledge graph and semantic reasoning engine,2017.0,,commercial,,no,2017,,N,N
Qdrant,320.0,362.0,352.0,Search engine,0.27,+0.09,+0.27,https://db-engines.com/en/system/Qdrant,,,"A high-performance vector similarity,Search Engine,and vector Database with neural network or semantic-based matching",2021.0,,Open Source,Apache Version 2.0,no,2021,,Y,N
Immudb,321.0,323.0,298.0,"Key-value, Multi-model",0.27,-0.05,+0.11,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS",Codenotary,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,2020.0,,Open Source,Apache Version 2.0,no,2020,,Y,N
LeanXcale,322.0,312.0,292.0,Multi-model,0.26,-0.09,+0.07,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no,2015,,N,N
NEventStore,323.0,319.0,293.0,Event,0.26,-0.07,+0.08,https://db-engines.com/en/system/NEventStore,,,A persistence agnostic Event Store for .NET,2011.0,,Open Source,MIT-License,no,2011,,Y,N
Actian PSQL,324.0,326.0,302.0,Relational,0.26,-0.05,+0.13,https://db-engines.com/en/system/Actian+PSQL,,,RDBMS used for embedded databases,1982.0,,commercial,,no,1982,,N,N
AnzoGraph DB,325.0,344.0,273.0,Multi-model,0.25,+0.02,-0.01,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store",Cambridge Semantics,"Scalable graph database built for online analytics and data harmonization with MPP scaling, high-performance analytical algorithms and reasoning, and virtualization",2018.0,,commercial,free trial version available,no,2018,,N,N
Skytable,326.0,300.0,,Key-value,0.25,-0.14,,https://db-engines.com/en/system/Skytable,,,"A free and open-source,Key-value Store,that aims to provide flexible data modeling at scale. Formerly also know as TerrabaseDB.",2020.0,,Open Source,GNU AGPL 3.0,no,2020,,Y,N
Bangdb,327.0,316.0,325.0,Multi-model,0.25,-0.08,+0.19,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS","Sachin Sinha, BangDB","Converged and high performance database for device data, events, time series, document and graph",2012.0,,Open Source,BSD 3,no,2012,,Y,N
