Name,Description,Primary database model,Secondary database models,DB-Engines Ranking Trend Chart,Website,Technical documentation,Developer,Initial release,Current release,License,Cloud-based only,DBaaS offerings (sponsored links),Implementation language,Server operating systems,Data scheme,Typing,XML support,Secondary indexes,SQL,APIs and other access methods,Supported programming languages,Server-side scripts,Triggers,Partitioning methods,Replication methods,MapReduce,Consistency concepts,Foreign keys,Transaction concepts,Concurrency,Durability,In-memory capabilities,User concepts
Rockset,"A scalable, reliable search and analytics service in the cloud, built on,RocksDB",Document store,"Relational DBMS,Search engine","Score,0.86,Rank,#220,Overall,#34,Document stores",rockset.com,docs.rockset.com,Rockset,2019.0,,commercial,yes,,C++,hosted,schema-free,dynamic typing,no,all fields are automatically indexed,"Read-only SQL queries, including JOINs",HTTP REST,"Go,Java,JavaScript (Node.js),Python",no,no,Automatic sharding,yes,no,Eventual Consistency,no,no,yes,yes,,Access rights for users and organizations can be defined via Rockset console
ObjectDB,,Object oriented DBMS,,"Score,0.86,Rank,#221,Overall,#10,Object oriented DBMS",www.objectdb.com,,,2010.0,"2.8.8, October 2022",commercial,no,,,,,,,,,,,,,,,,,,,,,,
BoltDB,"An embedded,key-value store,for Go.",Key-value store,,"Score,0.85,Rank,#222,Overall,#34,Key-value stores",github.com/boltdb/bolt,,,2013.0,,Open Source,no,,Go,"BSD,Linux,OS X,Solaris,Windows",schema-free,no,no,no,no,,Go,no,no,none,none,no,none,no,yes,yes,yes,no,no
MapDB,,Key-value store,,"Score,0.84,Rank,#223,Overall,#35,Key-value stores",mapdb.org,,,2002.0,,Open Source,no,,Java,,,,,,,,,,,,,,,,,,,,
M3DB,A distributed time series database created for Uber,Time Series DBMS,,"Score,0.83,Rank,#224,Overall,#18,Time Series DBMS",m3db.io,m3db.io/docs,,,,Open Source,no,"Aiven for M3,: Fully managed distributed time series database, deployable in the cloud of your choice.",,,,,,,,,,,,,,,,,,,,,
Yellowbrick,Data Warehouse appliance and cloud service,Relational DBMS,,"Score,0.82,Rank,#225,Overall,#106,Relational DBMS",www.yellowbrick.com,www.yellowbrick.com/resources,Yellowbrick Data,,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
NexusDB,,Relational DBMS,,"Score,0.82,Rank,#226,Overall,#107,Relational DBMS",www.nexusdb.com,,,2003.0,"4.50.26, February 2021",commercial,no,,,,,,,,,,,,,,,,,,,,,,
4store,,RDF store,,"Score,0.81,Rank,#227,Overall,#10,RDF stores",github.com/4store/4store,,,2009.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
TDSQL for MySQL,"A high-performance distributed database management system with features such as automatic sharding, intelligent operation and maintenance, elastic scalability without downtime, and enterprise-grade security. It is highly compatible with MySQL.",Relational DBMS,"Document store,Spatial DBMS","Score,0.80,Rank,#228,Overall,#108,Relational DBMS",intl.cloud.tencent.com/product/dcdb,intl.cloud.tencent.com/product/dcdb#m_developer,Tencent,2013.0,,commercial,yes,,,hosted,yes,yes,no,yes,yes,"JDBC,ODBC","C,C#,C++,Java,PHP,Python,Ruby",yes,yes,Automatic sharding,"Multi-source replication,Source-replica replication",no,Immediate Consistency,no,ACID,yes,yes,no,Users with fine-grained authorization concept
Objectivity/DB,,Object oriented DBMS,,"Score,0.78,Rank,#229,Overall,#11,Object oriented DBMS",objectivity.com/products/objectivitydb,,,1990.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
ScaleArc,"A layer on top of standard MySQL, SQL Server or Oracle instances for data distribution and sharding",Relational DBMS,,"Score,0.78,Rank,#230,Overall,#109,Relational DBMS",www.devgraph.com/scalearc,support.scalearc.com,"DevFactory, formerly Ignite",2009.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Amazon Keyspaces,"A scalable, highly available,Cassandra,–compatible database service",Wide column store,,"Score,0.77,Rank,#231,Overall,#10,Wide column stores",aws.amazon.com/keyspaces,aws.amazon.com/keyspaces/resources,Amazon,2019.0,,commercial,yes,,,hosted,,,,,,,,,,,,,,,,,,,
Tajo,SQL on Hadoop,Relational DBMS,,"Score,0.77,Rank,#232,Overall,#110,Relational DBMS",tajo.apache.org,,Apache Software Foundation,2012.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
AlaSQL,JavaScript DBMS library,"Document store,Relational DBMS",,"Score,0.77,Rank,#233,Overall,#35,Document stores,#111,Relational DBMS",alasql.org,github.com/agershun/alasql,Andrey Gershun & Mathias R. Wulff,2014.0,,Open Source,no,,JavaScript,"server-less, requires a JavaScript environment (browser, Node.js)",schema-free,no,no,no,"Close to SQL99, but no user access control, stored procedures and host language bindings.",JavaScript API,JavaScript,no,yes,none,none,no,none,yes,yes,,yes,yes,no
Northgate Reality,,Multivalue DBMS,,"Score,0.76,Rank,#234,Overall,#7,Multivalue DBMS",reality.necsws.com,,,1973.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
VistaDB,,Relational DBMS,,"Score,0.75,Rank,#235,Overall,#112,Relational DBMS",vistadb.com,,Gibraltar Software,2008.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Apache IoTDB,"An IoT native database with high performance for data management and analysis, deployable on the edge and the cloud and integrated with Hadoop, Spark and Flink",Time Series DBMS,,"Score,0.73,Rank,#236,Overall,#19,Time Series DBMS",iotdb.apache.org,,Apache Software Foundation,2018.0,,Open Source,no,,Java,All OS with a Java VM (>= 1.8),yes,yes,no,yes,SQL-like query language,"JDBC,Native API",,yes,yes,,,Integration with Hadoop and Spark,"Eventual Consistency,Strong Consistency with Raft",no,no,yes,yes,yes,yes
Trafodion,Transactional SQL-on-Hadoop DBMS,Relational DBMS,,"Score,0.72,Rank,#237,Overall,#113,Relational DBMS",trafodion.apache.org,trafodion.apache.org,"Apache Software Foundation, originally developed by HP",2014.0,"2.3.0, February 2019",Open Source,no,,"C++, Java",Linux,yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC",All languages supporting JDBC/ODBC/ADO.Net,Java Stored Procedures,no,Sharding,"yes, via,HBase",yes,Immediate Consistency,yes,ACID,yes,yes,no,fine grained access rights according to SQL-standard
Datacom/DB,"RDBMS,for mainframes",Relational DBMS,,"Score,0.72,Rank,#238,Overall,#114,Relational DBMS",www.broadcom.com/products/mainframe/databases-database-mgmt/datacom,,Broadcom (formerly CA),1972.0,,commercial,no,,,z/OS,yes,yes,,yes,yes,,,,,,,,,,,,,,
Percona Server for MongoDB,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,Document store,,"Score,0.70,Rank,#239,Overall,#36,Document stores",www.percona.com/software/mongodb/percona-server-for-mongodb,www.percona.com/doc/percona-server-for-mongodb/LATEST/index.html,Percona,2015.0,"3.4.10-2.10, November 2017",Open Source,no,,C++,Linux,schema-free,yes,no,yes,no,proprietary protocol using JSON,"Actionscript,C,C#,C++,Clojure,ColdFusion,D,Dart,Delphi,Erlang,Go,Groovy,Haskell,Java,JavaScript,Lisp,Lua,MatLab,Perl,PHP,PowerShell,Prolog,Python,R,Ruby,Scala,Smalltalk",JavaScript,no,Sharding,Source-replica replication,yes,"Eventual Consistency,Immediate Consistency",no,no,yes,yes,yes,Access rights for users and roles
OpenInsight,Development Environment with included multi-value filing system,Multivalue DBMS,,"Score,0.70,Rank,#240,Overall,#8,Multivalue DBMS",www.revelation.com/index.php/products/openinsight,,,1992.0,"10.0.1, April 2018",commercial,no,,,,,,,,,,,,,,,,,,,,,,
GemStone/S,,Object oriented DBMS,,"Score,0.66,Rank,#241,Overall,#12,Object oriented DBMS",gemtalksystems.com,,,1986.0,64 Bit 3.3.3,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Starcounter,,Object oriented DBMS,,"Score,0.65,Rank,#242,Overall,#13,Object oriented DBMS",starcounter.com,,,2006.0,"2.3.2.930, April 2018",commercial,no,,,,,,,,,,,,,,,,,,,,,,
Apache Doris,"An MPP-based analytics DBMS embracing the,MySQL,protocol",Relational DBMS,,"Score,0.64,Rank,#243,Overall,#115,Relational DBMS","doris.apache.org,github.com/apache/doris",github.com/apache/doris/wiki,"Apache Software Foundation, originally contributed from Baidu",2017.0,"0.14, May 2021",Open Source,no,,Java,Linux,yes,yes,no,yes,yes,"JDBC,MySQL client",Java,user defined functions,no,horizontal partitioning,none,no,Immediate Consistency,no,,yes,yes,no,fine grained access rights according to SQL-standard
LokiJS,In-memory JavaScript DBMS,Document store,,"Score,0.64,Rank,#244,Overall,#37,Document stores",github.com/techfort/LokiJS,techfort.github.io/LokiJS,,2014.0,,Open Source,no,,JavaScript,"server-less, requires a JavaScript environment (browser, Node.js)",schema-free,no,no,yes,no,JavaScript API,JavaScript,View functions in JavaScript,yes,none,none,yes,none,no,no,,yes,yes,no
Apache Pinot,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",Relational DBMS,,"Score,0.62,Rank,#245,Overall,#116,Relational DBMS",pinot.apache.org,docs.pinot.apache.org,Apache Software Foundation and contributors,2015.0,"0.11.0, September 2022",Open Source,no,,Java,All OS with a Java JDK11 or higher,yes,yes,,,SQL-like query language,JDBC,"Go,Java,Python",,,horizontal partitioning,,,,,,,,,
Milvus,A DBMS designed for efficient storage of vector data and vector similarity searches,Search engine,,"Score,0.62,Rank,#246,Overall,#16,Search engines",milvus.io,milvus.io/docs/overview.md,,2019.0,"2.0, January 2022",Open Source,no,,"C++, Go","Linux,macOS,Windows",,Numeric and String,no,no,no,RESTful HTTP API,"C++,Go,Java,JavaScript (Node.js),Python",no,no,Sharding,,no,"Bounded Staleness,Eventual Consistency,Immediate Consistency,Session Consistency,Tunable Consistency",no,no,yes,yes,no,no
Project Voldemort,,Key-value store,,"Score,0.62,Rank,#247,Overall,#36,Key-value stores",www.project-voldemort.com,,,2009.0,"1.10.25, July 2017",Open Source,no,,Java,,,,,,,,,,no,,,,,no,,,,,
atoti,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",Object oriented DBMS,,"Score,0.60,Rank,#248,Overall,#14,Object oriented DBMS",www.atoti.io,,ActiveViam,,,commercial,no,,Java,,,,,,Multidimensional Expressions (MDX),,,Python,,"Sharding, horizontal partitioning",,no,,,,"yes, multi-version concurrency control (MVCC)",,yes,
Sequoiadb,NewSQL database with distributed OLTP and SQL,"Document store,Relational DBMS",,"Score,0.60,Rank,#249,Overall,#38,Document stores,#117,Relational DBMS",www.sequoiadb.com,www.sequoiadb.com/en/index.php?m=Files&a=index,Sequoiadb Ltd.,2013.0,,Open Source,no,,C++,Linux,schema-free,yes,no,yes,SQL-like query language,proprietary protocol using JSON,".Net,C++,Java,PHP,Python",JavaScript,no,Sharding,Source-replica replication,no,Eventual Consistency,no,Document is locked during a transaction,yes,yes,no,simple password-based access control
InfiniteGraph,,Graph DBMS,,"Score,0.60,Rank,#250,Overall,#20,Graph DBMS",objectivity.com/infinitegraph,,,2010.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
HarperDB,Ultra-low latency distributed database with an intuitive REST API supporting NoSQL and SQL (including joins). Deployment of functions and databases simultaneously with a consolidated node-level architecture.,Document store,,"Score,0.59,Rank,#251,Overall,#39,Document stores",harperdb.io,harperdb.io/developers/documentation/overview,HarperDB,2017.0,"3.1, August 2021",commercial,no,,Node.js,"Linux,OS X",dynamic schema,yes,no,yes,SQL-like data manipulation statements,"JDBC,ODBC,React Hooks,RESTful HTTP/JSON API,WebSocket",".Net,C,C#,C++,ColdFusion,D,Dart,Delphi,Erlang,Go,Haskell,Java,JavaScript (Node.js),Lisp,MatLab,Objective C,Perl,PHP,PowerShell,Prolog,Python,R,Ruby,Rust,Scala,Swift",Custom Functions,no,A table resides as a whole on one (or more) nodes in a cluster,yes,no,Immediate Consistency,no,Atomic execution of specific operations,yes,"yes, using,LMDB",yes,Access rights for users and roles
Tokyo Tyrant,,Key-value store,,"Score,0.59,Rank,#252,Overall,#37,Key-value stores",fallabs.com/tokyotyrant,,,2007.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
SearchBlox,,Search engine,,"Score,0.58,Rank,#253,Overall,#17,Search engines",www.searchblox.com,,,2003.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
ModeShape,,Content store,,"Score,0.58,Rank,#254,Overall,#2,Content stores",modeshape.jboss.org,,,2010.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Kingbase,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",Relational DBMS,"Document store,Spatial DBMS","Score,0.57,Rank,#255,Overall,#118,Relational DBMS",www.kingbase.com.cn,bbs.kingbase.com.cn/chess_wenku-index.html,BeiJing KINGBASE Information technologies inc.,1999.0,"V8.0, August 2021",commercial,no,,C and Java,"Linux,Windows",yes,yes,yes,yes,Standard with numerous extensions,"ADO.NET,gokb,JDBC,kdbndp,ODBC,PDI,PDO,Pro*C,psycopg2,QT",".Net,C,C++,Go,Java,JavaScript (Node.js),Perl,PHP,Python",user defined functions,yes,"horizontal partitioning (by range, list and hash) and vertical partitioning",yes,no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
Rasdaman,Extends standard RDBMS with efficient handling of multi-dimensional arrays,Multivalue DBMS,,"Score,0.57,Rank,#256,Overall,#9,Multivalue DBMS",www.rasdaman.org,,,1998.0,"rasdaman v9.8.1, July 2019",Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Elassandra,"Open source database and search engine for multi-cloud applications based on,Cassandra,and,Elasticsearch",Wide column store,Search engine,"Score,0.57,Rank,#257,Overall,#11,Wide column stores",www.elassandra.io,doc.elassandra.io,,,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Scalaris,,Key-value store,,"Score,0.57,Rank,#258,Overall,#38,Key-value stores",scalaris.zib.de,,,2010.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
KeyDB,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",Key-value store,,"Score,0.56,Rank,#259,Overall,#39,Key-value stores","github.com/JohnSully/KeyDB,keydb.dev",docs.keydb.dev,EQ Alpha Technology Ltd.,2019.0,,Open Source,no,,C++,Linux,schema-free,partial,no,yes,no,Proprietary protocol,"C,C#,C++,Clojure,Crystal,D,Dart,Elixir,Erlang,Fancy,Go,Haskell,Haxe,Java,JavaScript (Node.js),Lisp,Lua,MatLab,Objective-C,OCaml,Pascal,Perl,PHP,Prolog,Pure Data,Python,R,Rebol,Ruby,Rust,Scala,Scheme,Smalltalk,Swift,Tcl,Visual Basic",Lua,no,Sharding,"Multi-source replication,Source-replica replication",no,"Eventual Consistency,Strong eventual consistency with CRDTs",no,"Optimistic locking, atomic execution of commands blocks and scripts",yes,yes,yes,simple password-based access control and ACL
Strabon,,RDF store,,"Score,0.53,Rank,#260,Overall,#11,RDF stores",www.strabon.di.uoa.gr,,,2011.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
Yandex Database (YDB),"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API","Document store,Relational DBMS",,"Score,0.53,Rank,#261,Overall,#40,Document stores,#119,Relational DBMS","cloud.yandex.com/en/services/ydb,github.com/ydb-platform/ydb,ydb.tech","cloud.yandex.com/en/docs/managed-ydb,ydb.tech/en/docs",Yandex,2019.0,,Open Source,no,,,Linux,"Flexible Schema (defined schema, partial schema, schema free)",yes,no,yes,SQL-like query language (YQL),RESTful HTTP API (DynamoDB compatible),"Go,Java,JavaScript (Node.js),PHP,Python",no,,Sharding,Active-passive shard replication,no,Immediate Consistency,no,ACID,yes,yes,no,Access rights defined for Yandex Cloud users
Alibaba Cloud MaxCompute,"MaxCompute (previously known as ODPS) is a general purpose, fully managed, multi-tenancy data processing platform for large-scale data warehousing",Relational DBMS,,"Score,0.50,Rank,#262,Overall,#120,Relational DBMS",www.alibabacloud.com/product/maxcompute,www.alibabacloud.com/help/product/27797.htm,Alibaba,2016.0,,commercial,yes,,,hosted,yes,yes,no,no,SQL-like query language,"Fluentd,Flume,MaxCompute Console",Java,user defined functions,no,Sharding,yes,yes,Immediate Consistency,no,no,yes,yes,no,Access rights for users and roles
Comdb2,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",Relational DBMS,,"Score,0.49,Rank,#263,Overall,#121,Relational DBMS",github.com/bloomberg/comdb2,bloomberg.github.io/comdb2/overview_home.html,Bloomberg Finance L.P.,2004.0,,Open Source,no,,,,,,,,,,,,,,,,,,,,,,
HugeGraph,"A fast-speed and highly-scalable,Graph DBMS",Graph DBMS,,"Score,0.48,Rank,#264,Overall,#21,Graph DBMS",github.com/hugegraph,hugegraph.github.io/hugegraph-doc,Baidu,2018.0,0.9,Open Source,no,,Java,"Linux,macOS,Unix",yes,yes,no,yes,no,"Java API,RESTful HTTP API,TinkerPop Gremlin","Groovy,Java,Python",asynchronous Gremlin script jobs,no,yes,yes,via hugegraph-spark,Eventual Consistency,yes,ACID,yes,yes,yes,"Users, roles and permissions"
TransLattice,,Relational DBMS,,"Score,0.48,Rank,#265,Overall,#122,Relational DBMS",www.translattice.com,,,2007.0,,commercial,no,,,,,,,,,,,,,,,,,,,,,,
Cloudflare Workers KV,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",Key-value store,,"Score,0.48,Rank,#266,Overall,#40,Key-value stores",www.cloudflare.com/products/workers-kv,developers.cloudflare.com/workers/runtime-apis/kv,Cloudflare,2018.0,,commercial,yes,,,hosted,schema-free,no,no,no,no,"HTTP REST,Proprietary protocol","C,C++,Dart,JavaScript,Kotlin,Python,Rust,Scala",no,no,,yes,no,Eventual Consistency,no,no,yes,yes,no,
Kyligence Enterprise,"A distributed analytics engine for big data, built on top of,Apache Kylin",Relational DBMS,,"Score,0.46,Rank,#267,Overall,#123,Relational DBMS",kyligence.io/kyligence-enterprise,,"Kyligence, Inc.",2016.0,,commercial,no,,Java,Linux,yes,yes,no,yes,ANSI SQL for queries (using Apache Calcite),"JDBC,ODBC,RESTful HTTP API",,,,,,yes,Immediate Consistency,,,yes,yes,no,
Raima Database Manager,"RDBMS with a small footprint, either embedded into an application or used as a database server","Relational DBMS,Time Series DBMS",,"Score,0.45,Rank,#268,Overall,#124,Relational DBMS,#20,Time Series DBMS",raima.com,docs.raima.com,Raima Inc.,1984.0,"15, June 2021",commercial,no,,C,"Android,HP-UX,Integrity RTOS,iOS,Linux,OS X,QNX,Solaris,VxWorks,Windows",yes,yes,no,yes,yes,"ADO.NET,JDBC,ODBC,RESTful HTTP API",".Net,C,C++,Objective-C,PL/SQL",yes,yes,horizontal partitioning,Source-replica replication,no,Immediate Consistency or Eventual Consistency depending on configuration,yes,ACID,"yes, multi-version concurrency control (MVCC)",yes,yes,no
Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",Relational DBMS,,"Score,0.45,Rank,#269,Overall,#125,Relational DBMS",www.brytlyt.com,,Brytlyt,2016.0,"0.9, October 2016",commercial,no,,"C, C++ and CUDA","Linux,OS X,Windows",yes,yes,yes,yes,yes,"ADO.NET,JDBC,native C library,ODBC,streaming API for large objects",".Net,C,C++,Delphi,Java,Perl,Python,Tcl",user defined functions,yes,,Source-replica replication,no,Immediate Consistency,yes,ACID,yes,yes,,fine grained access rights according to SQL-standard
FlockDB,,Graph DBMS,,"Score,0.44,Rank,#270,Overall,#22,Graph DBMS",github.com/twitter-archive/flockdb,,Twitter,2010.0,"1.8.5, February 2012",Open Source,no,,,,,,,,,,,,,,,,,,,,,,
