Rank_Apr-2026,Rank_Mar-2026,Rank_Apr-2025,DBMS,Database Model,Score_Apr-2026,Score_Mar-2026,Score_Apr-2025,DBMS_insitelink,Multi_model_info
164.,164.,164.,Dgraph,Graph,1.28,+0.02,+0.09,https://db-engines.com/en/system/Dgraph,
165.,166.,158.,Actian NoSQL Database,Object oriented,1.26,+0.01,+0.02,https://db-engines.com/en/system/Actian+NoSQL+Database,
166.,165.,161.,VoltDB,Relational,1.24,-0.01,+0.04,https://db-engines.com/en/system/VoltDB,
167.,172.,168.,HEAVY.AI,"Relational, Multi-model",1.24,+0.05,+0.09,https://db-engines.com/en/system/HEAVY.AI,"Relational DBMS,Spatial DBMS"
168.,163.,160.,Amazon Timestream,Time Series,1.23,-0.03,+0.01,https://db-engines.com/en/system/Amazon+Timestream,
169.,167.,157.,Empress,Relational,1.23,-0.01,-0.02,https://db-engines.com/en/system/Empress,
170.,170.,170.,Mnesia,Document,1.23,+0.01,+0.09,https://db-engines.com/en/system/Mnesia,
171.,168.,159.,HFSQL,Relational,1.21,-0.02,-0.01,https://db-engines.com/en/system/HFSQL,
172.,169.,173.,ObjectBox,Multi-model,1.19,-0.04,+0.09,https://db-engines.com/en/system/ObjectBox,"Object oriented DBMS,Vector DBMS,Time Series DBMS"
173.,175.,163.,Db4o,Object oriented,1.17,+0.01,-0.02,https://db-engines.com/en/system/Db4o,
174.,176.,178.,Apache Kylin,Relational,1.15,0.00,+0.14,https://db-engines.com/en/system/Apache+Kylin,
175.,174.,162.,IBM Db2 warehouse,Relational,1.15,-0.02,-0.04,https://db-engines.com/en/system/IBM+Db2+warehouse,
176.,178.,177.,LiteDB,Document,1.14,+0.02,+0.09,https://db-engines.com/en/system/LiteDB,
177.,186.,183.,TDSQL for MySQL,"Relational, Multi-model",1.14,+0.07,+0.14,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
178.,180.,207.,Typesense,Search engine,1.13,+0.03,+0.33,https://db-engines.com/en/system/Typesense,
179.,177.,165.,ObjectStore,Object oriented,1.13,+0.00,-0.05,https://db-engines.com/en/system/ObjectStore,
180.,184.,181.,SQLBase,Relational,1.11,+0.04,+0.11,https://db-engines.com/en/system/SQLBase,
181.,182.,171.,TimesTen,Relational,1.09,0.00,-0.04,https://db-engines.com/en/system/TimesTen,
182.,173.,156.,Tibero,Relational,1.09,-0.09,-0.18,https://db-engines.com/en/system/Tibero,
183.,179.,187.,openGauss,"Relational, Multi-model",1.08,-0.03,+0.14,https://db-engines.com/en/system/openGauss,"Relational DBMS,Document store,Spatial DBMS"
184.,181.,184.,Amazon Keyspaces,Wide column,1.08,-0.01,+0.09,https://db-engines.com/en/system/Amazon+Keyspaces,
185.,185.,175.,Datameer,Document,1.07,-0.01,-0.01,https://db-engines.com/en/system/Datameer,
186.,183.,182.,KurrentDB (aka EventStoreDB),"Event, Multi-model",1.05,-0.03,+0.05,https://db-engines.com/en/system/KurrentDB+%28aka+EventStoreDB%29,"Event Store,Document store,Time Series DBMS"
187.,187.,176.,Giraph,Graph,1.05,0.00,-0.01,https://db-engines.com/en/system/Giraph,
188.,188.,189.,NonStop SQL,Relational,1.00,-0.05,+0.07,https://db-engines.com/en/system/NonStop+SQL,
189.,194.,,Arc,Time Series,0.98,+0.07,,https://db-engines.com/en/system/Arc,
190.,197.,211.,Xapian,Search engine,0.98,+0.08,+0.23,https://db-engines.com/en/system/Xapian,
191.,189.,185.,Alibaba Cloud MaxCompute,Relational,0.96,+0.01,+0.00,https://db-engines.com/en/system/Alibaba+Cloud+MaxCompute,
192.,191.,195.,GT.M,Key-value,0.94,+0.01,+0.05,https://db-engines.com/en/system/GT.M,
193.,193.,203.,Vespa,Multi-model,0.94,+0.01,+0.11,https://db-engines.com/en/system/Vespa,"Search engine,Vector DBMS"
194.,198.,172.,mSQL,Relational,0.94,+0.05,-0.17,https://db-engines.com/en/system/mSQL,
195.,199.,201.,NCache,"Key-value, Multi-model",0.93,+0.05,+0.09,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine"
196.,190.,190.,Oracle Rdb,Relational,0.92,-0.03,0.00,https://db-engines.com/en/system/Oracle+Rdb,
