DBMS,Rank_Sep-2025,Rank_Aug-2025,Rank_Sep-2024,Database Model,Score_Sep-2025,Score_Aug-2025,Score_Sep-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
CockroachDB,65.0,65.0,67.0,Relational,5.03,+0.76,+0.29,https://db-engines.com/en/system/CockroachDB,,Cockroach Labs,"CockroachDB is a distributed database architected for modern cloud applications. It is wire compatible with PostgreSQL and backed by a,Key-Value Store,, which is either,RocksDB,or a purpose-built derivative, called Pebble.",2015.0,"24.1.0, May 2024",Open Source,"Apache 2.0, commercial license available",no
Milvus,66.0,68.0,89.0,Vector,4.52,+0.69,+1.51,https://db-engines.com/en/system/Milvus,,,A DBMS designed for efficient storage of vector data and vector similarity searches,2019.0,"2.4.4, May 2024",Open Source,Apache Version 2.0,no
MarkLogic,67.0,66.0,70.0,Multi-model,4.31,+0.36,+0.16,https://db-engines.com/en/system/MarkLogic,"Document store,Native XML DBMS,RDF store,Search engine,Vector DBMS",MarkLogic Corp.,Operational and transactional Enterprise NoSQL database,2001.0,"11.0, December 2022",commercial,restricted free version is available,no
TimescaleDB,68.0,67.0,73.0,"Time Series, Multi-model",4.29,+0.38,+0.23,https://db-engines.com/en/system/TimescaleDB,"Time Series DBMS,Relational DBMS",Timescale,"A,time series DBMS,optimized for fast ingest and complex queries, based on,PostgreSQL",2017.0,"2.15.0, May 2024",Open Source,Apache 2.0,no
ScyllaDB,69.0,70.0,69.0,"Wide column, Multi-model",3.99,+0.29,-0.17,https://db-engines.com/en/system/ScyllaDB,"Wide column store,Key-value store",ScyllaDB,Cassandra and DynamoDB compatible wide column store,2015.0,"ScyllaDB Open Source 6.2.0, October 2024",Open Source,"Open Source (AGPL), commercial license available",no
Ingres,70.0,71.0,79.0,Relational,3.92,+0.27,+0.29,https://db-engines.com/en/system/Ingres,,Actian Corporation,"Well established,RDBMS",1974.0,"12.0, July 2024",commercial,,no
SingleStore,71.0,80.0,74.0,"Relational, Multi-model",3.91,+0.61,-0.11,https://db-engines.com/en/system/SingleStore,"Relational DBMS,Document store,Spatial DBMS,Time Series DBMS,Vector DBMS",SingleStore Inc.,"MySQL wire-compliant distributed,RDBMS,that combines an in-memory row-oriented and a disc-based column-oriented storage with patented universal storage to handle transactional and analytical workloads in one single table type",2013.0,"8.5, January 2024",commercial,free developer edition available,no
OpenEdge,72.0,73.0,78.0,Relational,3.81,+0.29,+0.12,https://db-engines.com/en/system/OpenEdge,,Progress Software Corporation,Application development environment with integrated database management system,1984.0,"OpenEdge 12.2, March 2020",commercial,,no
Apache Druid,73.0,74.0,96.0,Multi-model,3.78,+0.29,+0.93,https://db-engines.com/en/system/Apache+Druid,"Relational DBMS,Time Series DBMS",Apache Software Foundation and contributors,Open-source analytics data store designed for sub-second OLAP queries on high dimensionality and high cardinality data,2012.0,"34.0.0, August 2025",Open Source,Apache license v2,no
Apache Jackrabbit,74.0,69.0,64.0,Content,3.73,+0.01,-1.12,https://db-engines.com/en/system/Apache+Jackrabbit,,Apache Software Foundation,,2006.0,"2.20.6, July 2022",Open Source,,no
Google Cloud Datastore,75.0,72.0,71.0,Document,3.71,+0.12,-0.43,https://db-engines.com/en/system/Google+Cloud+Datastore,,Google,Automatically scaling NoSQL Database as a Service (DBaaS) on the Google Cloud Platform,2008.0,,commercial,,yes
Interbase,76.0,76.0,77.0,Relational,3.68,+0.23,-0.10,https://db-engines.com/en/system/Interbase,,Embarcadero,Light-weight proven RDBMS,1984.0,"InterBase 2020, December 2019",commercial,,no
Datastax Enterprise,77.0,79.0,65.0,"Wide column, Multi-model",3.68,+0.36,-1.15,https://db-engines.com/en/system/Datastax+Enterprise,"Wide column store,Document store,Graph DBMS,Spatial DBMS,Search engine,Vector DBMS",DataStax,"DataStax Enterprise (DSE) is the always-on, scalable data platform built on,Apache Cassandra,and designed for hybrid Cloud. DSE integrates graph, search, analytics, administration, developer tooling, and monitoring into a unified platform.",2011.0,"6.8, April 2020",commercial,,no
Oracle NoSQL,78.0,75.0,86.0,Multi-model,3.62,+0.16,+0.55,https://db-engines.com/en/system/Oracle+NoSQL,"Document store,Key-value store,Relational DBMS",Oracle,"A multi-model, scalable, distributed NoSQL database, designed to provide highly reliable, flexible, and available data management across a configurable set of storage nodes",2011.0,"25.1, April 2025",Open Source,"Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",no
QuestDB,79.0,86.0,98.0,"Time Series, Multi-model",3.51,+0.45,+0.69,https://db-engines.com/en/system/QuestDB,"Time Series DBMS,Relational DBMS",QuestDB Technology Inc,"A high performance open source SQL database for,time series data",2014.0,,Open Source,Apache 2.0,no
Ehcache,80.0,82.0,66.0,Key-value,3.48,+0.24,-1.31,https://db-engines.com/en/system/Ehcache,,"Terracotta Inc, owned by Software AG",A widely adopted Java cache with tiered storage options,2009.0,"3.10.0, March 2022",Open Source,Apache Version 2; commercial licenses available,no
Microsoft Azure Data Explorer,81.0,84.0,83.0,"Relational, Multi-model",3.45,+0.37,+0.18,https://db-engines.com/en/system/Microsoft+Azure+Data+Explorer,"Relational DBMS,Document store,Event Store,Graph DBMS,Spatial DBMS,Search engine,Time Series DBMS",Microsoft,Fully managed big data interactive analytics platform,2019.0,cloud service with continuous releases,commercial,,yes
Qdrant,82.0,87.0,145.0,Vector,3.44,+0.51,+1.91,https://db-engines.com/en/system/Qdrant,,Qdrant,A high-performance vector database with neural network or semantic-based matching,2021.0,,Open Source,Apache Version 2.0,no
