,category_label,Multi_model_info,DBMS,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Jan-2023,Rank_Jan-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
78,Document,"Document store,Graph DBMS,Key-value store,Search engine",ArangoDB,https://db-engines.com/en/system/ArangoDB,Y,Y,arangodb/arangodb,+0.22,80,arangodb,arangodb,ArangoDB Inc.,2012,,Y,Apache Version 2; Commercial license (Enterprise) available,N,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
79,Key-value,Key-value store,Riak KV,https://db-engines.com/en/system/Riak+KV,Y,,basho/riak_kv,-0.10,79,basho,riak_kv,Basho Technologies,2009,,Y,"Apache version 2, commercial enterprise edition",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80,Multivalue,Multivalue DBMS,Adabas,https://db-engines.com/en/system/Adabas,Y,,jrmarino/AdaBase,+0.35,82,jrmarino,AdaBase,Software AG,1971,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,RDF,RDF store,Apache Jena - TDB,https://db-engines.com/en/system/Apache+Jena+-+TDB,,,,+0.60,87,,,Apache Software Foundation,2000,,Y,"Apache License, Version 2.0",N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,Relational,Relational DBMS,HyperSQL,https://db-engines.com/en/system/HyperSQL,Y,N,ryenus/hsqldb,-0.08,81,ryenus,hsqldb,,2001,,Y,based on BSD license,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
83,Relational,"Relational DBMS,Document store,Key-value store,Spatial DBMS,Search engine,Time Series DBMS,Wide column store",Trino,https://db-engines.com/en/system/Trino,Y,,trinodb/trino,+0.24,84,trinodb,trino,Trino Software Foundation,2012,,Y,Apache Version 2.0,N,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
84,Document,"Document store,Graph DBMS,Key-value store",OrientDB,https://db-engines.com/en/system/OrientDB,Y,,orientechnologies/orientdb,+0.06,89,orientechnologies,orientdb,OrientDB LTD; CallidusCloud; SAP,2010,,Y,Apache version 2,N,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
85,Multivalue,Multivalue DBMS,"UniData,UniVerse",https://db-engines.com/en/system/UniData%2CUniVerse,N,,-,+0.22,93,-,-,Rocket Software,1985,,N,,N,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,Key-value,Key-value store,GemFire,https://db-engines.com/en/system/GemFire,N,Y,-,+0.17,92,-,-,"Pivotal, VMware",,,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,Time Series,"Time Series DBMS,Relational DBMS",TimescaleDB,https://db-engines.com/en/system/TimescaleDB,Y,,timescale/timescaledb,-0.03,85,timescale,timescaledb,Timescale,2017,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
88,Relational,Relational DBMS,SAP IQ,https://db-engines.com/en/system/SAP+IQ,N,,-,-0.08,83,-,-,"SAP, formerly Sybase",1994,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
89,Relational,Relational DBMS,OpenEdge,https://db-engines.com/en/system/OpenEdge,N,,-,+0.21,94,-,-,Progress Software Corporation,1984,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,Key-value,Key-value store,RocksDB,https://db-engines.com/en/system/RocksDB,Y,Y,facebook/rocksdb,-0.02,88,facebook,rocksdb,"Facebook, Inc.",2013,,Y,BSD,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,Relational,Relational DBMS,Google Cloud Spanner,https://db-engines.com/en/system/Google+Cloud+Spanner,,,,-0.02,91,,,Google,2017,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
92,Relational,"Relational DBMS,Document store,Wide column store",YugabyteDB,https://db-engines.com/en/system/YugabyteDB,Y,Y,yugabyte/yugabyte-db,-0.13,86,yugabyte,yugabyte-db,Yugabyte Inc.,2017,,Y,Apache 2.0,N,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
