Rank_Oct-2025,Rank_Sep-2025,Rank_Oct-2024,DBMS,Database Model,Score_Oct-2025,Score_Sep-2025,Score_Oct-2024,DBMS_insitelink,Multi_model_info
138.,140.,146.,SpatiaLite,"Spatial, Multi-model",1.73,+0.05,+0.20,https://db-engines.com/en/system/SpatiaLite,"Spatial DBMS,Relational DBMS"
139.,138.,131.,Amazon SimpleDB,Key-value,1.70,-0.01,-0.12,https://db-engines.com/en/system/Amazon+SimpleDB,
140.,146.,173.,GBase,Relational,1.68,+0.10,+0.57,https://db-engines.com/en/system/GBase,
141.,139.,155.,Apache IoTDB,Time Series,1.64,-0.04,+0.26,https://db-engines.com/en/system/Apache+IoTDB,
142.,141.,127.,Oracle Berkeley DB,Multi-model,1.64,-0.01,-0.22,https://db-engines.com/en/system/Oracle+Berkeley+DB,"Key-value store,Native XML DBMS"
143.,142.,137.,RRDtool,Time Series,1.63,-0.02,-0.04,https://db-engines.com/en/system/RRDtool,
144.,143.,171.,HFSQL,Relational,1.62,+0.03,+0.49,https://db-engines.com/en/system/HFSQL,
145.,148.,139.,EXASOL,Relational,1.60,+0.03,-0.05,https://db-engines.com/en/system/EXASOL,
146.,135.,160.,VictoriaMetrics,Time Series,1.57,-0.18,+0.28,https://db-engines.com/en/system/VictoriaMetrics,
147.,144.,148.,Datomic,Relational,1.54,-0.04,+0.04,https://db-engines.com/en/system/Datomic,
148.,145.,143.,OpenTSDB,Time Series,1.53,-0.05,-0.05,https://db-engines.com/en/system/OpenTSDB,
149.,149.,135.,MonetDB,"Relational, Multi-model",1.51,-0.04,-0.19,https://db-engines.com/en/system/MonetDB,"Relational DBMS,Document store,Spatial DBMS"
150.,152.,185.,PlanetScale,"Relational, Multi-model",1.50,+0.00,+0.51,https://db-engines.com/en/system/PlanetScale,"Relational DBMS,Document store,Spatial DBMS"
151.,147.,147.,Fauna,Multi-model,1.49,-0.09,-0.01,https://db-engines.com/en/system/Fauna,"Document store,Graph DBMS,Relational DBMS,Time Series DBMS"
152.,151.,141.,BaseX,Native XML,1.47,-0.06,-0.13,https://db-engines.com/en/system/BaseX,
153.,153.,178.,Meilisearch,Multi-model,1.43,-0.06,+0.36,https://db-engines.com/en/system/Meilisearch,"Search engine,Vector DBMS"
154.,156.,144.,IMS,Navigational,1.38,+0.00,-0.18,https://db-engines.com/en/system/IMS,
155.,154.,151.,Geode,Key-value,1.38,-0.02,-0.06,https://db-engines.com/en/system/Geode,
156.,161.,194.,TDSQL for MySQL,"Relational, Multi-model",1.36,+0.03,+0.41,https://db-engines.com/en/system/TDSQL+for+MySQL,"Relational DBMS,Document store,Spatial DBMS"
157.,157.,158.,jBASE,Multivalue,1.36,-0.01,+0.03,https://db-engines.com/en/system/jBASE,
158.,155.,149.,GridGain,Multi-model,1.35,-0.04,-0.14,https://db-engines.com/en/system/GridGain,"Columnar,Key-value store,Object oriented DBMS,Relational DBMS"
159.,158.,142.,Tarantool,Multi-model,1.31,-0.06,-0.27,https://db-engines.com/en/system/Tarantool,"Document store,Key-value store,Relational DBMS,Spatial DBMS"
