Rank_Feb-2026,Rank_Jan-2026,Rank_Feb-2025,DBMS,Database Model,Score_Feb-2026,Score_Jan-2026,Score_Feb-2025,DBMS_insitelink,Multi_model_info
253.,252.,249.,Kingbase,"Relational, Multi-model",0.48,-0.01,+0.01,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS"
254.,255.,248.,atoti,Object oriented,0.45,+0.01,-0.02,https://db-engines.com/en/system/atoti,
255.,256.,246.,MapDB,Key-value,0.43,0.00,-0.05,https://db-engines.com/en/system/MapDB,
256.,258.,276.,Kyligence Enterprise,Relational,0.43,0.00,+0.10,https://db-engines.com/en/system/Kyligence+Enterprise,
257.,253.,251.,Apache Doris,Relational,0.42,-0.03,-0.02,https://db-engines.com/en/system/Apache+Doris,
258.,260.,250.,Scalaris,Key-value,0.42,0.00,-0.02,https://db-engines.com/en/system/Scalaris,
259.,259.,240.,WebSphere eXtreme Scale,Key-value,0.42,-0.01,-0.08,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,
260.,254.,302.,RaptorDB,Document,0.42,-0.03,+0.20,https://db-engines.com/en/system/RaptorDB,
261.,262.,264.,YDB,Multi-model,0.42,+0.00,+0.05,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS"
262.,264.,255.,GemStone/S,Object oriented,0.40,0.00,-0.02,https://db-engines.com/en/system/GemStone%2FS,
263.,263.,254.,VistaDB,Relational,0.40,-0.02,-0.03,https://db-engines.com/en/system/VistaDB,
264.,266.,296.,Alibaba Cloud TSDB,Time Series,0.39,+0.00,+0.17,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,
265.,265.,266.,Hibari,Key-value,0.39,-0.01,+0.04,https://db-engines.com/en/system/Hibari,
266.,267.,282.,Elassandra,"Wide column, Multi-model",0.39,0.00,+0.10,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine"
267.,268.,257.,OpenInsight,Multivalue,0.39,+0.00,0.00,https://db-engines.com/en/system/OpenInsight,
268.,272.,243.,SQL.JS,Relational,0.38,+0.01,-0.11,https://db-engines.com/en/system/SQL.JS,
269.,261.,244.,Harper,Document,0.38,-0.05,-0.11,https://db-engines.com/en/system/Harper,
271.,270.,277.,Deep Lake,Vector,0.37,-0.01,+0.05,https://db-engines.com/en/system/Deep+Lake,
272.,271.,281.,Marqo,Search engine,0.37,-0.01,+0.07,https://db-engines.com/en/system/Marqo,
273.,269.,287.,Cloudflare Workers KV,Key-value,0.37,-0.02,+0.10,https://db-engines.com/en/system/Cloudflare+Workers+KV,
274.,277.,272.,Comdb2,Relational,0.35,+0.00,+0.01,https://db-engines.com/en/system/Comdb2,
275.,273.,274.,CnosDB,Time Series,0.35,-0.02,+0.01,https://db-engines.com/en/system/CnosDB,
276.,274.,262.,Rasdaman,Multivalue,0.34,-0.01,-0.03,https://db-engines.com/en/system/Rasdaman,
277.,276.,275.,LokiJS,Document,0.34,-0.01,+0.02,https://db-engines.com/en/system/LokiJS,
278.,275.,269.,SearchBlox,Search engine,0.34,-0.01,-0.01,https://db-engines.com/en/system/SearchBlox,
279.,278.,268.,AlaSQL,Multi-model,0.33,-0.01,-0.02,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS"
280.,279.,242.,Northgate Reality,Multivalue,0.33,-0.01,-0.16,https://db-engines.com/en/system/Northgate+Reality,
281.,280.,256.,Sequoiadb,Multi-model,0.33,-0.01,-0.07,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS"
282.,281.,294.,Databend,Relational,0.30,0.00,+0.06,https://db-engines.com/en/system/Databend,
283.,282.,273.,Fluree,Graph,0.29,-0.01,-0.05,https://db-engines.com/en/system/Fluree,
284.,285.,288.,InfiniteGraph,Graph,0.28,+0.00,+0.02,https://db-engines.com/en/system/InfiniteGraph,
285.,286.,283.,Starcounter,Object oriented,0.28,+0.00,0.00,https://db-engines.com/en/system/Starcounter,
286.,284.,270.,Postgres-XL,"Relational, Multi-model",0.28,-0.01,-0.06,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS"
287.,287.,280.,Strabon,RDF,0.28,0.00,-0.02,https://db-engines.com/en/system/Strabon,
288.,283.,330.,Valentina Server,Relational,0.27,-0.02,+0.16,https://db-engines.com/en/system/Valentina+Server,
289.,289.,289.,Actian PSQL,Relational,0.27,+0.01,+0.02,https://db-engines.com/en/system/Actian+PSQL,
290.,288.,279.,ModeShape,Content,0.27,-0.01,-0.03,https://db-engines.com/en/system/ModeShape,
