id,category,system,is_open_source,has_company,github_repo_link,score,overall_rank,Relational DBMS,Key-value,Document,Time Series,Graph,Object oriented,Search engine,RDF,Wide column,Multivalue,Native XML,Spatial DBMS,Event,Content,Navigational,org_name,repo_name
98,Object oriented,Db4o,Y,,iboxdb/db4o-gpl,1.66,136,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,iboxdb,db4o-gpl
99,Object oriented,ObjectStore,N,,-,1.48,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-
100,Object oriented,Actian NoSQL Database,N,,-,1.35,146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-
101,Object oriented,Objectivity/DB,N,,-,1.03,172,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-
102,Object oriented,GemStone/S,N,,-,1.00,175,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-
103,Object oriented,Matisse,N,,-,1.00,176,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-
104,"Object oriented, Multi-model ",ObjectBox,Y,,objectbox/objectbox-java,0.90,185,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,objectbox,objectbox-java
105,Object oriented,Perst,Y,,The-Alchemist/perst,0.72,206,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,The-Alchemist,perst
106,Object oriented,ObjectDB,N,,-,0.66,216,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-
107,Object oriented,Jade,N,,-,0.59,225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-,-
108,"Search engine, Multi-model ",Elasticsearch,Y,,elastic/elasticsearch,160.24,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,elastic,elasticsearch
109,Search engine,Splunk,N,,-,91.61,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,-
110,"Search engine, Multi-model ",Solr,Y,,apache/solr,49.81,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,apache,solr
111,Search engine,Sphinx,Y,,sphinxsearch/sphinx,7.64,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,sphinxsearch,sphinx
